formula,adsorbate,adsorption_energy_eV,species_ratio,metal_nonmetal_ratio,metal_radius,nonmetal_radius,mean_bond_length,miller_index,packing_density,metal_electronegativity,metal_valence,nonmetal_electronegativity,nonmetal_valence,electronegativity_ratio,fermi_energy,band_gap,magnetic_moment,reference,remarks,formation_energy,bulk_modulus,shear_modulus,eps_avg,jid,e_hull
TiO2,S8,3.84,0.0,0.5,176,48,1.99,2,0.365,1.54,4,3.44,6,0.4476744186046512,1.417,2.68,0.0,https://doi.org/10.1007/s12274-022-5061-4,,-3.24965,159.06714285714284,74.66285714285715,12.5,JVASP-TiO2,1.4705
TiO2,Li2S8,2.67,0.2,0.5,176,48,1.99,2,0.365,1.54,4,3.44,6,0.4476744186046512,1.417,2.68,0.0,https://doi.org/10.1007/s12274-022-5061-4,,-3.24965,159.06714285714284,74.66285714285715,12.5,JVASP-TiO2,1.4705
TiO2,Li2S6,3.08,0.25,0.5,176,48,1.99,2,0.365,1.54,4,3.44,6,0.4476744186046512,1.417,2.68,0.0,https://doi.org/10.1007/s12274-022-5061-4,,-3.24965,159.06714285714284,74.66285714285715,12.5,JVASP-TiO2,1.4705
TiO2,Li2S4,3.67,0.33,0.5,176,48,1.99,2,0.365,1.54,4,3.44,6,0.4476744186046512,1.417,2.68,0.0,https://doi.org/10.1007/s12274-022-5061-4,,-3.24965,159.06714285714284,74.66285714285715,12.5,JVASP-TiO2,1.4705
TiO2,Li2S2,3.48,0.5,0.5,176,48,1.99,2,0.365,1.54,4,3.44,6,0.4476744186046512,1.417,2.68,0.0,https://doi.org/10.1007/s12274-022-5061-4,,-3.24965,159.06714285714284,74.66285714285715,12.5,JVASP-TiO2,1.4705
Ti4O7,S8,0.91,0.0,0.57,176,48,2.02,6,0.412,1.54,4,3.44,6,0.4476744186046512,5.963,0.0,0.98,https://doi.org/10.1007/s12274-022-5061-4,,-2.77293,175.0,70.0,12.5,JVASP-Ti4O7,0.04
Ti4O7,Li2S8,1.67,0.2,0.57,176,48,2.02,6,0.412,1.54,4,3.44,6,0.4476744186046512,5.963,0.0,0.98,https://doi.org/10.1007/s12274-022-5061-4,,-2.77293,175.0,70.0,12.5,JVASP-Ti4O7,0.04
Ti4O7,Li2S6,2.23,0.25,0.57,176,48,2.02,6,0.412,1.54,4,3.44,6,0.4476744186046512,5.963,0.0,0.98,https://doi.org/10.1007/s12274-022-5061-4,,-2.77293,175.0,70.0,12.5,JVASP-Ti4O7,0.04
Ti4O7,Li2S4,2.82,0.33,0.57,176,48,2.02,6,0.412,1.54,4,3.44,6,0.4476744186046512,5.963,0.0,0.98,https://doi.org/10.1007/s12274-022-5061-4,,-2.77293,175.0,70.0,12.5,JVASP-Ti4O7,0.04
Ti4O7,Li2S2,3.05,0.5,0.57,176,48,2.02,6,0.412,1.54,4,3.44,6,0.4476744186046512,5.963,0.0,0.98,https://doi.org/10.1007/s12274-022-5061-4,,-2.77293,175.0,70.0,12.5,JVASP-Ti4O7,0.04
Ti3O5,S8,1.43,0.0,0.6,176,48,2.03,8,0.443,1.54,4,3.44,6,0.4476744186046512,5.805,0.0,0.01,https://doi.org/10.1007/s12274-022-5061-4,,-3.17828,170.0,68.0,12.5,JVASP-Ti3O5,0.03
Ti3O5,Li2S8,4.02,0.2,0.6,176,48,2.03,8,0.443,1.54,4,3.44,6,0.4476744186046512,5.805,0.0,0.01,https://doi.org/10.1007/s12274-022-5061-4,,-3.17828,170.0,68.0,12.5,JVASP-Ti3O5,0.03
Ti3O5,Li2S6,3.28,0.25,0.6,176,48,2.03,8,0.443,1.54,4,3.44,6,0.4476744186046512,5.805,0.0,0.01,https://doi.org/10.1007/s12274-022-5061-4,,-3.17828,170.0,68.0,12.5,JVASP-Ti3O5,0.03
Ti3O5,Li2S4,3.07,0.33,0.6,176,48,2.03,8,0.443,1.54,4,3.44,6,0.4476744186046512,5.805,0.0,0.01,https://doi.org/10.1007/s12274-022-5061-4,,-3.17828,170.0,68.0,12.5,JVASP-Ti3O5,0.03
Ti3O5,Li2S2,1.18,0.5,0.6,176,48,2.03,8,0.443,1.54,4,3.44,6,0.4476744186046512,5.805,0.0,0.01,https://doi.org/10.1007/s12274-022-5061-4,,-3.17828,170.0,68.0,12.5,JVASP-Ti3O5,0.03
TiSe2,S8,0.7,0.0,0.5,176,103,2.57,1,0.366,1.54,4,2.55,6,0.603921568627451,3.1,0.0,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-1.16276,41.4,27.56,12.5,JVASP-TiSe2,1.5637
TiSe2,Li2S8,0.99,0.2,0.5,176,103,2.57,1,0.366,1.54,4,2.55,6,0.603921568627451,3.1,0.0,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-1.16276,41.4,27.56,12.5,JVASP-TiSe2,1.5637
TiSe2,Li2S6,0.94,0.25,0.5,176,103,2.57,1,0.366,1.54,4,2.55,6,0.603921568627451,3.1,0.0,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-1.16276,41.4,27.56,12.5,JVASP-TiSe2,1.5637
TiSe2,Li2S4,1.24,0.33,0.5,176,103,2.57,1,0.366,1.54,4,2.55,6,0.603921568627451,3.1,0.0,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-1.16276,41.4,27.56,12.5,JVASP-TiSe2,1.5637
VSe,S8,0.85,0.0,1.0,171,103,2.5,5,0.409,1.63,5,2.55,6,0.6392156862745098,2.997,0.0,0.04,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.51504,90.68666666666667,51.75,12.5,JVASP-VSe,1.6332
VSe,Li2S8,1.37,0.2,1.0,171,103,2.5,5,0.409,1.63,5,2.55,6,0.6392156862745098,2.997,0.0,0.04,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.51504,90.68666666666667,51.75,12.5,JVASP-VSe,1.6332
VSe,Li2S6,1.2,0.25,1.0,171,103,2.5,5,0.409,1.63,5,2.55,6,0.6392156862745098,2.997,0.0,0.04,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.51504,90.68666666666667,51.75,12.5,JVASP-VSe,1.6332
VSe,Li2S4,1.2,0.33,1.0,171,103,2.5,5,0.409,1.63,5,2.55,6,0.6392156862745098,2.997,0.0,0.04,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.51504,90.68666666666667,51.75,12.5,JVASP-VSe,1.6332
VSe2,S8,0.75,0.0,0.5,171,103,2.5,1,0.38,1.63,5,2.55,6,0.6392156862745098,0.626,0.0,0.73,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.71318,48.105000000000004,32.76,12.5,JVASP-VSe2,1.87
VSe2,Li2S8,1.0,0.2,0.5,171,103,2.5,1,0.38,1.63,5,2.55,6,0.6392156862745098,0.626,0.0,0.73,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.71318,48.105000000000004,32.76,12.5,JVASP-VSe2,1.87
VSe2,Li2S6,0.91,0.25,0.5,171,103,2.5,1,0.38,1.63,5,2.55,6,0.6392156862745098,0.626,0.0,0.73,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.71318,48.105000000000004,32.76,12.5,JVASP-VSe2,1.87
VSe2,Li2S4,1.18,0.33,0.5,171,103,2.5,1,0.38,1.63,5,2.55,6,0.6392156862745098,0.626,0.0,0.73,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.71318,48.105000000000004,32.76,12.5,JVASP-VSe2,1.87
CrSe,S8,0.69,0.0,1.0,166,103,2.44,5,0.11,1.66,6,2.55,6,0.6509803921568628,4.986,0.0,0.33,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.30108,61.47,21.18,12.5,JVASP-CrSe,1.9061
CrSe,Li2S8,0.92,0.2,1.0,166,103,2.44,5,0.11,1.66,6,2.55,6,0.6509803921568628,4.986,0.0,0.33,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.30108,61.47,21.18,12.5,JVASP-CrSe,1.9061
CrSe,Li2S6,0.88,0.25,1.0,166,103,2.44,5,0.11,1.66,6,2.55,6,0.6509803921568628,4.986,0.0,0.33,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.30108,61.47,21.18,12.5,JVASP-CrSe,1.9061
CrSe,Li2S4,0.94,0.33,1.0,166,103,2.44,5,0.11,1.66,6,2.55,6,0.6509803921568628,4.986,0.0,0.33,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.30108,61.47,21.18,12.5,JVASP-CrSe,1.9061
MnO,Li2S8,2.78,0.2,1.0,161,48,2.25,4,0.579,1.55,7,3.44,6,0.4505813953488372,6.311,0.18,0.0,https://doi.org/10.1016/j.jpowsour.2022.232244,,-1.31265,184.99,54.115,12.5,JVASP-MnO,1.5552
MnO,Li2S6,2.5,0.25,1.0,161,48,2.25,4,0.579,1.55,7,3.44,6,0.4505813953488372,6.311,0.18,0.0,https://doi.org/10.1016/j.jpowsour.2022.232244,,-1.31265,184.99,54.115,12.5,JVASP-MnO,1.5552
MnO,Li2S4,2.68,0.33,1.0,161,48,2.25,4,0.579,1.55,7,3.44,6,0.4505813953488372,6.311,0.18,0.0,https://doi.org/10.1016/j.jpowsour.2022.232244,,-1.31265,184.99,54.115,12.5,JVASP-MnO,1.5552
MnO,Li2S2,2.41,0.5,1.0,161,48,2.25,4,0.579,1.55,7,3.44,6,0.4505813953488372,6.311,0.18,0.0,https://doi.org/10.1016/j.jpowsour.2022.232244,,-1.31265,184.99,54.115,12.5,JVASP-MnO,1.5552
MnS,Li2S8,2.44,0.2,1.0,161,88,2.56,4,0.477,1.55,7,2.58,6,0.6007751937984496,7.31,0.0,4.61,https://doi.org/10.1016/j.jpowsour.2022.232244,,-0.49365,57.85,29.955,12.5,JVASP-MnS,1.7975
MnS,Li2S6,2.12,0.25,1.0,161,88,2.56,4,0.477,1.55,7,2.58,6,0.6007751937984496,7.31,0.0,4.61,https://doi.org/10.1016/j.jpowsour.2022.232244,,-0.49365,57.85,29.955,12.5,JVASP-MnS,1.7975
MnS,Li2S4,2.26,0.33,1.0,161,88,2.56,4,0.477,1.55,7,2.58,6,0.6007751937984496,7.31,0.0,4.61,https://doi.org/10.1016/j.jpowsour.2022.232244,,-0.49365,57.85,29.955,12.5,JVASP-MnS,1.7975
MnS,Li2S2,1.99,0.5,1.0,161,88,2.56,4,0.477,1.55,7,2.58,6,0.6007751937984496,7.31,0.0,4.61,https://doi.org/10.1016/j.jpowsour.2022.232244,,-0.49365,57.85,29.955,12.5,JVASP-MnS,1.7975
MnSe,Li2S8,2.46,0.2,1.0,161,103,2.71,4,0.462,1.55,7,2.55,6,0.607843137254902,5.97,0.0,4.77,https://doi.org/10.1016/j.jpowsour.2022.232244,,-0.2989,68.90333333333334,15.955,12.5,JVASP-MnSe,1.7235
MnSe,Li2S6,2.11,0.25,1.0,161,103,2.71,4,0.462,1.55,7,2.55,6,0.607843137254902,5.97,0.0,4.77,https://doi.org/10.1016/j.jpowsour.2022.232244,,-0.2989,68.90333333333334,15.955,12.5,JVASP-MnSe,1.7235
MnSe,Li2S4,2.24,0.33,1.0,161,103,2.71,4,0.462,1.55,7,2.55,6,0.607843137254902,5.97,0.0,4.77,https://doi.org/10.1016/j.jpowsour.2022.232244,,-0.2989,68.90333333333334,15.955,12.5,JVASP-MnSe,1.7235
MnSe,Li2S2,1.95,0.5,1.0,161,103,2.71,4,0.462,1.55,7,2.55,6,0.607843137254902,5.97,0.0,4.77,https://doi.org/10.1016/j.jpowsour.2022.232244,,-0.2989,68.90333333333334,15.955,12.5,JVASP-MnSe,1.7235
FeSe,S8,0.94,0.0,1.0,156,103,2.3,5,0.465,1.83,8,2.55,6,0.7176470588235295,4.327,0.0,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.28331,82.74833333333333,40.79,12.5,JVASP-FeSe,1.4638
FeSe,Li2S8,1.24,0.2,1.0,156,103,2.3,5,0.465,1.83,8,2.55,6,0.7176470588235295,4.327,0.0,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.28331,82.74833333333333,40.79,12.5,JVASP-FeSe,1.4638
FeSe,Li2S6,0.9,0.25,1.0,156,103,2.3,5,0.465,1.83,8,2.55,6,0.7176470588235295,4.327,0.0,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.28331,82.74833333333333,40.79,12.5,JVASP-FeSe,1.4638
FeSe,Li2S4,0.94,0.33,1.0,156,103,2.3,5,0.465,1.83,8,2.55,6,0.7176470588235295,4.327,0.0,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.28331,82.74833333333333,40.79,12.5,JVASP-FeSe,1.4638
Co3O4,Li2S8,1.74,0.2,0.75,152,48,2.0,11,0.533,1.88,9,3.44,6,0.5465116279069767,5.587,0.0,3.0,https://doi.org/10.1021/acsmaterialslett.2c00266,,-1.10868,186.5,65.0,12.5,JVASP-Co3O4,3.0192
