jid,formula,band_gap,formation_energy,bulk_modulus,shear_modulus,eps_avg,formula_clean,E_ads_Li2S2,E_ads_Li2S4,E_ads_Li2S6,E_ads_Li2S8,E_ads_S8,E_ads_avg
JVASP-10,VSe2,0.0,-0.71026,48.79,33.05,40.740166666666674,VSe2,,1.18,0.91,1.0,0.75,0.96
JVASP-64664,Ba4NaBi,0.0,0.09202,12.1,0.36,117.2598,,,,,,,
JVASP-1372,AlAs,1.681,-0.57639,68.87,42.58,9.8497,,,,,,,
JVASP-14873,SrB6,0.016,-0.49796,150.6,125.7,8.7742,,,,,,,
JVASP-28397,SiS,0.658,-0.38924,6.63,5.44,2.9788333333333328,,,,,,,
JVASP-1996,NaI,3.851,-1.35798,17.93,10.88,3.6359,,,,,,,
JVASP-48166,LiMn5O3F5,0.482,-2.01511,97.7,23.4,172.96636666666666,,,,,,,
JVASP-15345,YCoC2,0.0,-0.44713,179.17,99.0,44.92133333333334,,,,,,,
JVASP-21210,Xe,6.149,9e-05,4.4,2.82,2.6101,,,,,,,
JVASP-65062,Ca4BeW,0.0,1.23549,23.03,13.82,179.64649999999997,,,,,,,
JVASP-64983,BeCu4W,0.0,0.39528,161.67,54.16,139.3892,,,,,,,
JVASP-22587,RbVF3,0.0,-2.55295,82.77,36.04,22.566999999999997,,,,,,,
JVASP-18912,YMg,0.0,-0.10473,42.93,28.46,63.60580000000001,,,,,,,
JVASP-64184,Ba4CdSe,0.0,0.0668,13.53,0.0,132.8925,,,,,,,
JVASP-14756,USb,0.0,-0.17167,72.03,44.0,93.74196666666667,,,,,,,
JVASP-22670,Rb2MnCl6,0.0,-1.34678,19.03,9.98,14.0509,,,,,,,
JVASP-28959,Te2MoWSeS,0.224,-0.379,6.44,1.48,13.546766666666665,,,,,,,
JVASP-1390,SrO,3.405,-3.02565,93.6,60.06,3.8303999999999996,,,,,,,
JVASP-47962,Li2VO2F,0.0,-2.67509,105.91,75.19,149.78893333333335,,,,,,,
JVASP-1879,NaVO2,0.0,-2.26988,120.51,80.39,88.50106666666666,,,,,,,
JVASP-18433,LiNiO2,0.0,-1.44752,135.52,54.73,56.38463333333333,,,,,,,
JVASP-29024,Te4MoW,0.9,-0.11943,19.21,17.35,13.248466666666666,,,,,,,
JVASP-22721,PbBr2,2.64,-0.90725,28.96,9.13,5.291966666666667,,,,,,,
JVASP-3534,BiClO,2.87,-1.39849,67.58,34.09,6.347533333333334,,,,,,,
JVASP-15831,CrS2,0.0,-0.43786,20.77,14.36,101.27293333333334,,,,,,,
JVASP-3252,Sm2SeO2,2.316,-3.24311,111.22,59.85,5.869233333333334,,,,,,,
JVASP-1837,LiYSe2,1.599,-1.80991,45.81,28.03,7.295533333333332,,,,,,,
JVASP-14997,YbNi5,0.0,-0.32266,140.12,68.21,210.04600000000002,,,,,,,
JVASP-43079,LiCuS,0.967,-0.77246,69.46,13.97,8.689633333333333,,,,,,,
JVASP-50935,AlInO3,2.464,-2.48756,191.5,93.16,3.9016333333333333,,,,,,,
JVASP-22698,LiAgF2,1.737,-2.08997,76.89,21.83,3.5672333333333337,,,,,,,
JVASP-37168,YTi,0.0,0.35286,56.1,9.3,151.6305,,,,,,,
JVASP-64315,KBaNb,0.0,1.56875,9.3,0.0,132.9799,,,,,,,
JVASP-50006,RbTaO3,2.391,-2.83629,132.7,67.16,5.4944999999999995,,,,,,,
JVASP-42398,Li2FeO2F,0.004,-2.23094,124.43,58.1,25.616,,,,,,,
JVASP-16930,VS2,0.0,-0.94178,49.36,29.91,32.67576666666667,,,,,,,
JVASP-64241,Ba4HfCl,0.0,0.52226,11.83,1.04,157.5185,,,,,,,
JVASP-64668,Ba4ZrPb,0.0,0.55506,18.0,4.32,212.6893,,,,,,,
JVASP-50107,Tb2SeO2,2.347,-3.31305,117.98,65.45,5.830933333333333,,,,,,,
JVASP-65020,BeCuPt,0.0,-0.38954,166.86,78.75,37.05836666666667,,,,,,,
JVASP-3096,Tl2SnF6,4.346,-2.35056,32.81,12.41,3.235966666666666,,,,,,,
JVASP-22617,NiSnF6,0.0,-2.13396,38.96,31.19,17.87306666666667,,,,,,,
JVASP-14614,Sb,0.0,0.04824,55.2,32.76,91.38,,,,,,,
JVASP-5059,Dy3Mn3Ga2Si,0.0,-0.31186,66.54,16.61,231.89836666666667,,,,,,,
JVASP-42657,FeO2,0.0,-1.39242,269.79,141.71,119.08639999999998,,,,,,,
JVASP-52341,SbOF,3.601,-1.86145,16.59,14.59,4.2169,,,,,,,
JVASP-15431,Li2CuO2,0.0,-1.55369,98.96,49.29,4.989633333333333,,,,,,,
JVASP-85447,BaNiF6,1.281,-2.59956,59.14,27.71,4.0305,,,,,,,
JVASP-90336,Sr2H6Os,2.398,-0.62937,54.5,33.54,4.8443,,,,,,,
JVASP-48645,VOF3,2.815,-2.66891,21.61,14.11,4.677333333333333,,,,,,,
JVASP-90812,PrAlH6,2.332,-0.3662,72.07,55.4,6.349799999999999,,,,,,,
JVASP-85665,Ba2MgH6,2.988,-0.55323,41.17,33.34,4.804633333333334,,,,,,,
JVASP-4591,Tl6TeO6,1.561,-0.85133,20.96,8.59,7.584599999999999,,,,,,,
JVASP-86570,RePbClO4,3.172,-1.59866,33.79,17.05,5.590566666666668,,,,,,,
JVASP-38312,RbF3,0.0,-1.28311,25.67,4.06,76.4956,,,,,,,
JVASP-85785,KH2I3O,1.811,-0.88515,12.81,6.35,7.218433333333333,,,,,,,
JVASP-38306,RbLiO3,0.0,-0.50274,40.7,4.5,125.6367,,,,,,,
JVASP-85713,LiHS,3.501,-0.84152,23.69,5.55,3.539933333333334,,,,,,,
JVASP-87207,MnSe2O6,1.364,-1.13327,44.37,34.14,51.5414,,,,,,,
JVASP-90168,UInPt,0.0,-0.47845,121.01,42.27,152.17816666666667,,,,,,,
JVASP-37035,TiFeCoAs,0.0,-0.34463,186.0,10.02,78.0317,,,,,,,
JVASP-85922,Eu2I2O,0.0,-1.88116,46.01,12.49,62.91063333333333,,,,,,,
JVASP-14575,CeN,0.0,-1.66792,165.6,84.6,23.9714,,,,,,,
JVASP-22644,SiC,2.273,-0.2438,213.29,190.65,6.987666666666667,,,,,,,
JVASP-90627,SiNi,0.0,-0.28064,168.5,42.12,175.7043,,,,,,,
JVASP-86502,ThTi2O6,2.966,-3.55196,154.33,71.64,5.727433333333334,,,,,,,
JVASP-37194,Mn2SiRu,0.0,-0.28167,234.57,64.84,117.8076,,,,,,,
JVASP-37044,TiFe2As,0.0,-0.33344,202.93,23.84,54.1604,,,,,,,
JVASP-37946,Co3Bi,0.0,0.44331,154.88,47.17,146.5803,,,,,,,
JVASP-37051,Ti2GaFe,0.0,-0.24587,146.57,29.02,109.128,,,,,,,
JVASP-15056,HoAg,0.0,-0.37346,76.0,31.62,57.3519,,,,,,,
JVASP-38317,RbF3,0.0,-1.27512,25.18,0.0,68.5707,,,,,,,
JVASP-37031,TiFe2Sb,0.0,-0.23465,185.57,43.48,51.4572,,,,,,,
JVASP-14789,NdTe,0.0,-1.46013,61.0,35.1,60.9057,,,,,,,
JVASP-64985,Be2RuPb,0.0,0.41383,135.09,32.05,37.53106666666667,,,,,,,
JVASP-39448,RuPbO3,0.0,-1.1063,184.2,38.22,72.1677,,,,,,,
JVASP-87040,VP4,0.0,-0.3635,114.46,85.19,68.30473333333333,,,,,,,
JVASP-16080,Mn,0.0,0.07558,281.13,127.46,127.43876666666667,,,,,,,
JVASP-14914,Si2Ru,0.0,-0.29383,166.6,95.58,52.450799999999994,,,,,,,
JVASP-37042,Ti3Ge,0.0,-0.25899,125.77,36.94,147.2009,,,,,,,
JVASP-107773,Ca3CdO4,1.85,-2.77374,118.11,72.13,4.498666666666667,,,,,,,
JVASP-37191,Mn2SnRu,0.0,0.0907,174.83,17.06,128.2613,,,,,,,
JVASP-37039,Ti3Sn,0.0,-0.17272,115.93,26.6,142.1632,,,,,,,
JVASP-37104,Sc2MnGe,0.0,-0.19439,99.57,19.24,84.1271,,,,,,,
JVASP-14830,W,0.0,0.0,305.2,143.46,52.3802,,,,,,,
JVASP-37057,Ti2InNi,0.0,-0.09282,115.03,19.64,218.12299999999996,,,,,,,
