jid,formula,formula_raw,adsorbate,adsorption_energy_eV,band_gap,formation_energy,bulk_modulus,shear_modulus,eps_avg,species_ratio,metal_nonmetal_ratio,mean_bond_length,reference
JVASP-90247,TiO2,TiO2,S8,3.84,2.065523809523809,-3.24965,159.06714285714284,74.66285714285715,10.412736507936508,0.0,0.5,1.99,https://doi.org/10.1007/s12274-022-5061-4
JVASP-90247,TiO2,TiO2,Li2S8,2.67,2.065523809523809,-3.24965,159.06714285714284,74.66285714285715,10.412736507936508,0.2,0.5,1.99,https://doi.org/10.1007/s12274-022-5061-4
JVASP-90247,TiO2,TiO2,Li2S6,3.08,2.065523809523809,-3.24965,159.06714285714284,74.66285714285715,10.412736507936508,0.25,0.5,1.99,https://doi.org/10.1007/s12274-022-5061-4
JVASP-90247,TiO2,TiO2,Li2S4,3.67,2.065523809523809,-3.24965,159.06714285714284,74.66285714285715,10.412736507936508,0.33,0.5,1.99,https://doi.org/10.1007/s12274-022-5061-4
JVASP-90247,TiO2,TiO2,Li2S2,3.48,2.065523809523809,-3.24965,159.06714285714284,74.66285714285715,10.412736507936508,0.5,0.5,1.99,https://doi.org/10.1007/s12274-022-5061-4
JVASP-326,TiSe2,TiSe2(001),S8,0.7,0.0,-1.16276,41.4,27.56,35.428666666666665,0.0,0.5,2.57,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-326,TiSe2,TiSe2(001),Li2S8,0.99,0.0,-1.16276,41.4,27.56,35.428666666666665,0.2,0.5,2.57,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-326,TiSe2,TiSe2(001),Li2S6,0.94,0.0,-1.16276,41.4,27.56,35.428666666666665,0.25,0.5,2.57,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-326,TiSe2,TiSe2(001),Li2S4,1.24,0.0,-1.16276,41.4,27.56,35.428666666666665,0.33,0.5,2.57,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-18513,VSe,VSe(210),S8,0.85,0.0,-0.51504,90.68666666666668,51.75,106.3499,0.0,1.0,2.5,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-18513,VSe,VSe(210),Li2S8,1.37,0.0,-0.51504,90.68666666666668,51.75,106.3499,0.2,1.0,2.5,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-18513,VSe,VSe(210),Li2S6,1.2,0.0,-0.51504,90.68666666666668,51.75,106.3499,0.25,1.0,2.5,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-18513,VSe,VSe(210),Li2S4,1.2,0.0,-0.51504,90.68666666666668,51.75,106.3499,0.33,1.0,2.5,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-10,VSe2,VSe2(001),S8,0.75,0.0,-0.71318,48.105,32.76,41.88655000000001,0.0,0.5,2.5,https://doi.org/10.1016/j.apsusc.2021.151213
JVASP-10,VSe2,VSe2(001),Li2S8,1.0,0.0,-0.71318,48.105,32.76,41.88655000000001,0.2,0.5,2.5,https://doi.org/10.1016/j.apsusc.2021.151213
