Rank,Formula,Eg (eV),Ef (eV/at),K (GPa),G (GPa),E_ads (eV),Composite Score
1,WB2,0.0,-1.5,310.0,180.0,2.722,0.772
2,MoC,0.0,-0.17,306.843,145.583,2.89,0.653
3,Co3O4,0.0,-1.109,186.5,65.0,5.572,0.644
4,Ti3O5,0.0,-3.178,170.0,68.0,2.596,0.642
5,Mo2C,0.0,-0.149,293.87,147.8,2.782,0.641
6,Ti4O7,0.0,-2.773,175.0,70.0,2.136,0.603
7,ZnO,0.72,-1.592,143.802,44.627,4.57,0.525
8,MnO,0.18,-1.313,184.99,54.115,2.593,0.506
9,TiO2,2.68,-3.25,159.067,74.663,3.348,0.477
10,Ni3P,0.0,-0.405,195.0,68.0,2.112,0.466
